#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,ABS-CBN Entertainment @UCstEtN0pgOmCf02EdXsGChw,41.5M,-,Philippines,,12.5M
2,GMANetwork @UCKL5hAuzgFQsyrsQKgU0Qng,26.9M,-,Philippines,,8.1M
3,Ivana Alawi @IvanaAlawi,15.9M,1.40%,Philippines,,4.8M
4,Niana Guerrero @UCLysbxhOO_JPOPgcsPCMb8w,14.9M,-,Philippines,,4.5M
5,Wish 107.5 @UCdfq8-581QVUtVsa8ChVnDQ,13.8M,-,Philippines,,4.1M
6,Zeinab Harake @UC-j7tR3DhEt85EM9HbvxXqA,13.1M,0.60%,Philippines,,3.9M
7,Alex Gonzaga Official @UC6N-9Wh0DYhDI8sQS7jwjVA,13M,1.50%,Philippines,,3.9M
8,GMA News @UCqYw-CTd1dU2yGI71sEyqNw,11.4M,-,Philippines,News,3.4M
9,Donnalyn @UCVwvPcaag7ubJPn1gOClDvQ,9.2M,0.90%,Philippines,,2.8M
10,Wowowin @UC7UlaAta4FC6yoo9rOtfQcQ,7.6M,-,Philippines,,2.3M
11,Vice Ganda @UCZ1PkXDIb_ybGu-3cxMm6oQ,7.5M,1.10%,Philippines,,2.2M
12,Jelai Andres @JelaiAndres,7.5M,0.20%,Philippines,,2.2M
13,Doc Willie Ong @UCR6n79EOdY406JlZD8FEgyg,7.4M,-,Philippines,,2.2M
14,ChooxTV @UC2OaBXso9ZDAdAx9lW2FqZA,6.4M,0.10%,Philippines,,1.9M
15,Toni Gonzaga Studio @UCgTar4TrvIBvrlMdPUgbFfg,6.3M,0.40%,Philippines,,1.9M
16,Viy Cortez @UC39p6707suIKTZiw0BTGapw,6.2M,-,Philippines,,1.9M
17,Agassi Ching @UCPa2lVGm68HvXAgzU75gHIQ,5M,-,Philippines,,1.5M
18,TinoKidsTV @UCfxNXZJyzRwte4fK-MUYxrQ,5M,-,Philippines,,1.5M
19,Pinoy Big Brother @UCsumo4lY8cd4v8Xt5zG3eSg,5M,-,Philippines,,1.5M
20,Ex Battalion Music @UCXDPZNH-eEXtrxr5Ert1LWQ,5M,1.80%,Philippines,,1.5M
21,The Hungry Syrian Wanderer @UCrPo31V8wpuuCMseyzEDZMQ,4.9M,0.80%,Philippines,,1.5M
22,angelicajaneyap @UC-KrJWxMSMVBbmmpNLhSBdw,4.3M,-,Philippines,,1.3M
23,Tukomi @Tukomi,4.2M,-,Philippines,,1.3M
24,"Regal Entertainment, Inc. @UC69I8egELqWywoX5wrh2KxQ",4.1M,-,Philippines,Celebrity,1.2M
25,Kathryn Bernardo @UCHNfOV1Ou9KYYAjFGbwFILA,4M,1.80%,Philippines,,1.2M
26,Rowvery Trinidad @UCgqOzDzPe6Qzj-eZTNBgHsQ,3.9M,0.10%,Philippines,,1.2M
27,Andrea B. @UCCl7-hiz0Hz9cMORj0BrYHw,3.9M,-,Philippines,Celebrity Music,1.2M
28,Geo Ong @UCtoKGjdpzrXCI_3-WSAs_ng,3.9M,4.80%,Philippines,,1.2M
29,ClarkTV @UCfv5QHzKKn26W6A5y5l1pLg,3.6M,-,Philippines,,1.1M
30,Lloyd Cafe Cadena VLOGS @UC21Ah56j1gA3VckhKtA6-dQ,3.6M,4.80%,Philippines,,1.1M
31,MechanicZ @UCQWmz5oOUdb2-9wi3Z6PW7Q,3.5M,-,Philippines,,1M
32,One Sports @UCXDG9ue-emCN8Ad3h7lERqQ,3.4M,-,Philippines,Sports,1M
33,Leti Sha @UCWkVgfMFZkJLQ6uB113Xq1A,3.3M,-,Philippines,,1M
34,Kristian PH @UCsQ81wsggLv84uKENeatBMw,3.3M,0.10%,Philippines,,984K
35,The Squad 2022 @UCMZ343FCzDO3mfX9VERi_PQ,3.3M,-,Philippines,,984K
36,keith talens @UC3iJzT7DEznqOJdNqfwyzKA,3.3M,-,Philippines,,978K
37,Jak Roberto @UCyUp0cQrU5CGeN5qXgrApQg,3.2M,0.50%,Philippines,,966K
38,iWantTFC @UCBShlKe5s0Z04tDm4-gXDeg,3.2M,-,Philippines,,960K
39,Michelle Dy @UCgFK7j5dr7Z2Sh3Vv-ka8oA,3.2M,-,Philippines,,951K
40,FEATR @UCoTrrnpqNOqR_yhrv6KIHiA,3.2M,-,Philippines,,951K
41,Von Ordona Vlogs @UC7m88_dfniONQbHF7sxycqg,3.1M,0.50%,Philippines,,942K
42,Boss Keng @UCQpMeIJ0-ykiqCiCrZZY6DQ,3.1M,0.60%,Philippines,,939K
43,LIVELOVEPARTY.TV @UCVKZZn5fcJbsKEkm8dc5cxg,3M,-,Philippines,Fitness,912K
44,Ogie Diaz @UCFjNqRoCvkOCYLnBUjdfmSg,3M,0.30%,Philippines,,891K
45,Miniature Cusina @UCbtgvc9joz_6xBr4OLoy0iA,3M,-,Philippines,,888K
46,Elgin @UC9ahzg5NE2d9jLgxdcqciJA,2.9M,0.10%,Philippines,,882K
47,Braxy @Braxy,2.9M,0.10%,Philippines,,870K
48,KAYCEE WONDERLAND @UCfaJVVAQOQ56gf7JYWVugMg,2.9M,4.70%,Philippines,,870K
49,Kim Chiu PH @UCUSmW85ETJC0mNXMmCzIyyw,2.9M,0.50%,Philippines,,864K
50,News5Everywhere @UCGEbMwiX774cseKvJqF9R2g,2.9M,-,Philippines,,858K
51,Moira Dela Torre @UCnOafy_XCtpz_EpLqVkgunQ,2.8M,2.40%,Philippines,,849K
52,Bea Alonzo @UC1ebx44DwOCzCSePqJIdC_g,2.8M,2.20%,Philippines,,843K
53,UNTV News and Rescue @UC3XaG-7UVi2vD8ZZEMNnnpw,2.8M,-,Philippines,News Marketing and Advertising Television,837K
54,Makagago Wazzup Man @UCdBppUV183m8dQ3RYygns-Q,2.8M,1%,Philippines,,828K
55,Love Marie Escudero @UCJdFejePA1O6fuKKwRqF6tg,2.8M,0.40%,Philippines,,828K
56,Wil Dasovich @UCSir19L_390tAg4IbCggvCg,2.8M,0.30%,Philippines,,825K
57,CoversPH @UCaPwSXblS8F0owlKHGc6huw,2.7M,-,Philippines,,813K
58,RACHEL WONDERLAND @UCLmjrj9ZvStUlauvMl5fmmw,2.7M,-,Philippines,,807K
59,Junell Dominic @UCRKPNXzPWJtJeoVBaFVuBCw,2.7M,1%,Philippines,,804K
60,Bongbong Marcos @UCqgTKnYIeu4DNXGN5fBCY9Q,2.7M,1.60%,Philippines,,801K
61,Jp Amazing Stories @UCnxkCLjb1JAvhQ8iBfIX2_Q,2.7M,-,Philippines,,798K
62,Kaalaman @UCTfv9FQ_wKXIjzCIHxnSn2A,2.7M,-,Philippines,,795K
63,SB19 Official @UCm4v7afBTnJKRm4SlfHJzyg,2.7M,0.70%,Philippines,,795K
64,Riva Quenery @UCovX2oe7NONkys-qeR_j1_g,2.6M,-,Philippines,,789K
65,Yow @UCznibittbFHbwdDd5Fy01yQ,2.6M,-,Philippines,,771K
66,KrisTells Vlogs @UC925y3Dn61A7MBXGZJWNX9A,2.5M,2.20%,Philippines,,759K
67,Wish 1075 @UC4mNKqTuEvp9tVXWz43ijwQ,2.5M,-,Philippines,,756K
68,Princess Thea @UC8IUIkIPEeulY3NBFtsthpQ,2.5M,0.10%,Philippines,,750K
69,Happy Islanders @UCDiNUgM_dUHBgKCVR2awPCg,2.5M,0.40%,Philippines,,744K
70,Pamela Swing @PamelaSwing,2.5M,0.20%,Philippines,,741K
71,Grown Ups Kids' Toys @UCX7CYiI89e6wBnwytOx8A-Q,2.5M,-,Philippines,,741K
72,Ben&Ben @UCD2HT__OY6xzj-YbnAXJhfA,2.4M,0.60%,Philippines,,729K
73,Sachzna @UC6Uqgjh-hUwgEYzLZ97wHkA,2.4M,-,Philippines,Beauty,717K
74,Kath Melendez @UCyoLstvUOn_0D646NWwomdA,2.3M,-,Philippines,,702K
75,Fumiya / FumiShun Base @UCi7Ofw4sJynsacr_i6uk_lA,2.3M,-,Philippines,,693K
76,Wilbert Tolentino VLOGS @UCuqzSaI7TFlqvMkw-nWlIfA,2.3M,0.40%,Philippines,Celebrity,690K
77,BEKS BATTALION @UCMGDO2WEtB_tUMtMapDZrVg,2.3M,0.40%,Philippines,,687K
78,Shaina Denniz @UC7MKav1P5Lt2JmSzY4pDqhQ,2.3M,-,Philippines,,681K
79,Leteziaz @UChE6JU1pLupEdZgSbeBUuWw,2.3M,-,Philippines,,675K
80,iNSECTiON @iNSECTiONML,2.3M,-,Philippines,,675K
81,Evo Kaloko @UCNmHmrv5SI9Gdk5O0jEyyug,2.1M,-,Philippines,,624K
82,Jose Hallorina @JoseHallorina,2.1M,-,Philippines,,621K
83,Andree Bonifacio @UCHzbmiu_C2bEhJcHOhVn3kg,2.1M,-,Philippines,,621K
84,Jeepney TV @UCayTnP1hE285GofWkTdXclw,2M,-,Philippines,,615K
85,Chinkee Tan @chinkpositive,2M,-,Philippines,,612K
86,Doc Adam @UCsrRPShwtgobdwkglhQVlDw,2M,-,Philippines,,609K
87,Justin Vasquez @UCSVsSm4S2ZXNgT4hPqoTLBg,2M,0.10%,Philippines,,609K
88,TechRam @UC3gu7p27dis86qsoizzMgMg,2M,-,Philippines,,609K
89,Mother Kween Vlogs @UCiTDvMpAjg1d9SLwqMJGW7w,2M,0.10%,Philippines,,606K
90,RENE JAY @UClGEuBrz0PIx4sJ5kyyGCKg,2M,-,Philippines,,603K
91,Chad Kinis @UCh-XedTkeCPbf2Io-EMw6SA,2M,0.60%,Philippines,,603K
92,Rainimator @UCIGl_6GmKR7fPRBBDDRcR0Q,2M,-,Philippines,,600K
93,Pinoy Music Lover @UC0bF-pPBzm_Xu0q3fc16buQ,2M,-,Philippines,Music,597K
94,Idol Philippines @UChrqw3SxABVBY9JFQVTZxOw,2M,0.10%,Philippines,,588K
95,Win YT @UCYft-5-veqg3cVAz-bObfoQ,2M,-,Philippines,,585K
96,Panty Droppaz League @UCjuiUoq_kGqsMFSQom1lvVQ,1.9M,45%,Philippines,,582K
97,Lyca Gairanod @UC6rupOQe1pOhTUjsr9yNtug,1.9M,0.30%,Philippines,,582K
98,ML DiscipleGaming @UC8PyCBXwHDIZqZo-eQ-BYzg,1.9M,-,Philippines,,576K
99,Charoot XD @UC2cIYunQXWEoUDpOOTu3SaA,1.9M,-,Philippines,,573K
100,KYO QUIJANO @UC9V7uyaVnldZ6gnwtdLnZIA,1.9M,0.20%,Philippines,,573K
